PassengerId,Pclass,Age,SibSp,Parch,male
892,3,34.5,0,0,1
893,3,47.0,1,0,0
894,2,62.0,0,0,1
895,3,27.0,0,0,1
896,3,22.0,1,1,0
897,3,14.0,0,0,1
898,3,30.0,0,0,0
899,2,26.0,1,1,1
900,3,18.0,0,0,0
901,3,21.0,2,0,1
902,3,24.0,0,0,1
903,1,46.0,0,0,1
904,1,23.0,1,0,0
905,2,63.0,1,0,1
906,1,47.0,1,0,0
907,2,24.0,1,0,0
908,2,35.0,0,0,1
909,3,21.0,0,0,1
910,3,27.0,1,0,0
911,3,45.0,0,0,0
912,1,55.0,1,0,1
913,3,9.0,0,1,1
914,1,42.0,0,0,0
915,1,21.0,0,1,1
916,1,48.0,1,3,0
917,3,50.0,1,0,1
918,1,22.0,0,1,0
919,3,22.5,0,0,1
920,1,41.0,0,0,1
921,3,24.0,2,0,1
922,2,50.0,1,0,1
923,2,24.0,2,0,1
924,3,33.0,1,2,0
925,3,24.0,1,2,0
926,1,30.0,1,0,1
927,3,18.5,0,0,1
928,3,24.0,0,0,0
929,3,21.0,0,0,0
930,3,25.0,0,0,1
931,3,24.0,0,0,1
932,3,39.0,0,1,1
933,1,42.0,0,0,1
934,3,41.0,0,0,1
935,2,30.0,0,0,0
936,1,45.0,1,0,0
937,3,25.0,0,0,1
938,1,45.0,0,0,1
939,3,24.0,0,0,1
940,1,60.0,0,0,0
941,3,36.0,0,2,0
942,1,24.0,1,0,1
943,2,27.0,0,0,1
944,2,20.0,2,1,0
945,1,28.0,3,2,0
946,2,26.5,0,0,1
947,3,10.0,4,1,1
948,3,35.0,0,0,1
949,3,25.0,0,0,1
950,3,24.0,1,0,1
951,1,36.0,0,0,0
952,3,17.0,0,0,1
953,2,32.0,0,0,1
954,3,18.0,0,0,1
955,3,22.0,0,0,0
956,1,13.0,2,2,1
957,2,26.5,0,0,0
958,3,18.0,0,0,0
959,1,47.0,0,0,1
960,1,31.0,0,0,1
961,1,60.0,1,4,0
962,3,24.0,0,0,0
963,3,21.0,0,0,1
964,3,29.0,0,0,0
965,1,28.5,0,0,1
966,1,35.0,0,0,0
967,1,32.5,0,0,1
968,3,24.0,0,0,1
969,1,55.0,2,0,0
970,2,30.0,0,0,1
971,3,24.0,0,0,0
972,3,6.0,1,1,1
973,1,67.0,1,0,1
974,1,49.0,0,0,1
975,3,24.0,0,0,1
976,2,26.5,0,0,1
977,3,24.0,1,0,1
978,3,27.0,0,0,0
979,3,18.0,0,0,0
980,3,24.0,0,0,0
981,2,2.0,1,1,1
982,3,22.0,1,0,0
983,3,24.0,0,0,1
984,1,27.0,1,2,0
985,3,24.0,0,0,1
986,1,25.0,0,0,1
987,3,25.0,0,0,1
988,1,76.0,1,0,0
989,3,29.0,0,0,1
990,3,20.0,0,0,0
991,3,33.0,0,0,1
992,1,43.0,1,0,0
993,2,27.0,1,0,1
994,3,24.0,0,0,1
995,3,26.0,0,0,1
996,3,16.0,1,1,0
997,3,28.0,0,0,1
998,3,21.0,0,0,1
999,3,24.0,0,0,1
1000,3,24.0,0,0,1
1001,2,18.5,0,0,1
1002,2,41.0,0,0,1
1003,3,24.0,0,0,0
1004,1,36.0,0,0,0
1005,3,18.5,0,0,0
1006,1,63.0,1,0,0
1007,3,18.0,1,0,1
1008,3,24.0,0,0,1
1009,3,1.0,1,1,0
1010,1,36.0,0,0,1
1011,2,29.0,1,0,0
1012,2,12.0,0,0,0
1013,3,24.0,1,0,1
1014,1,35.0,1,0,0
1015,3,28.0,0,0,1
1016,3,24.0,0,0,1
1017,3,17.0,0,1,0
1018,3,22.0,0,0,1
1019,3,24.0,2,0,0
1020,2,42.0,0,0,1
1021,3,24.0,0,0,1
1022,3,32.0,0,0,1
1023,1,53.0,0,0,1
1024,3,24.0,0,4,0
1025,3,24.0,1,0,1
1026,3,43.0,0,0,1
1027,3,24.0,0,0,1
1028,3,26.5,0,0,1
1029,2,26.0,0,0,1
1030,3,23.0,0,0,0
1031,3,40.0,1,6,1
1032,3,10.0,5,2,0
1033,1,33.0,0,0,0
1034,1,61.0,1,3,1
