PassengerId,Pclass,Age,SibSp,Parch,male
1,3,22.0,1,0,1
2,1,38.0,1,0,0
3,3,26.0,0,0,0
4,1,35.0,1,0,0
5,3,35.0,0,0,1
6,3,24.0,0,0,1
7,1,54.0,0,0,1
8,3,2.0,3,1,1
9,3,27.0,0,2,0
10,2,14.0,1,0,0
11,3,4.0,1,1,0
12,1,58.0,0,0,0
13,3,20.0,0,0,1
14,3,39.0,1,5,1
15,3,14.0,0,0,0
16,2,55.0,0,0,0
17,3,2.0,4,1,1
18,2,26.5,0,0,1
19,3,31.0,1,0,0
20,3,24.0,0,0,0
21,2,35.0,0,0,1
22,2,34.0,0,0,1
23,3,15.0,0,0,0
24,1,28.0,0,0,1
25,3,8.0,3,1,0
26,3,38.0,1,5,0
27,3,24.0,0,0,1
28,1,19.0,3,2,1
29,3,24.0,0,0,0
30,3,24.0,0,0,1
31,1,40.0,0,0,1
32,1,42.0,1,0,0
33,3,24.0,0,0,0
34,2,66.0,0,0,1
35,1,28.0,1,0,1
36,1,42.0,1,0,1
37,3,24.0,0,0,1
38,3,21.0,0,0,1
39,3,18.0,2,0,0
40,3,14.0,1,0,0
41,3,40.0,1,0,0
42,2,27.0,1,0,0
43,3,24.0,0,0,1
44,2,3.0,1,2,0
45,3,19.0,0,0,0
46,3,24.0,0,0,1
47,3,24.0,1,0,1
48,3,24.0,0,0,0
49,3,24.0,2,0,1
50,3,18.0,1,0,0
51,3,7.0,4,1,1
52,3,21.0,0,0,1
53,1,49.0,1,0,0
54,2,29.0,1,0,0
55,1,65.0,0,1,1
56,1,42.0,0,0,1
57,2,21.0,0,0,0
58,3,28.5,0,0,1
59,2,5.0,1,2,0
60,3,11.0,5,2,1
61,3,22.0,0,0,1
62,1,38.0,0,0,0
63,1,45.0,1,0,1
64,3,4.0,3,2,1
65,1,42.0,0,0,1
66,3,24.0,1,1,1
67,2,29.0,0,0,0
68,3,19.0,0,0,1
69,3,17.0,4,2,0
70,3,26.0,2,0,1
71,2,32.0,0,0,1
72,3,16.0,5,2,0
73,2,21.0,0,0,1
74,3,26.0,1,0,1
75,3,32.0,0,0,1
76,3,25.0,0,0,1
77,3,24.0,0,0,1
78,3,24.0,0,0,1
